City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Victor Harbor,AU,-35.5667,138.6167,96.67,76,0,7.7,clear sky
335,Soe,ID,-9.8607,124.284,70.36,84,100,1.83,overcast clouds
336,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,55,20,6.71,few clouds
337,Sangar,RU,63.9242,127.4739,-35.14,99,93,3.02,overcast clouds
338,Belaya Gora,RU,68.5333,146.4167,-24.79,100,99,4.18,overcast clouds
339,Makakilo City,US,21.3469,-158.0858,77.32,78,0,8.05,clear sky
340,Palana,RU,59.1167,159.9667,12.81,70,37,5.03,scattered clouds
341,Abu Dhabi,AE,24.4667,54.3667,69.96,73,0,1.14,clear sky
342,Prince Rupert,CA,54.3161,-130.3201,46.49,87,100,32.21,overcast clouds
343,Elliot,ZA,-31.3333,27.85,52.27,92,99,3.02,overcast clouds
344,Ixtapa,MX,20.7,-105.2,67.23,94,20,3.44,few clouds
